"","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"11059",27,9,"3","M","Single",427.3192717
"11093",24,5,"3","M","Married",517.7877526
"5362",20,3,"2","F","Married",308.8496566
"5287",65,44,"2","M","Single",116.8334234
"8943",19,1,"3","F","Single",689.6378418
"11937",64,46,"3","F","Married",96.20616382
"9096",62,45,"3","M","Single",73.44526457
"7152",16,0,"2","M","Single",695.3534376
"2061",51,30,"1","M","Married",566.1994377
"8487",19,0,"3","F","Married",407.9717447
"582",65,48,"1","M","Single",234.2227558
"6901",27,9,"2","M","Single",381.18968
"10240",54,33,"3","F","Married",132.5911568
"10438",29,9,"3","M","Single",400.1784244
"874",63,42,"1","F","Single",365.7762262
"6126",58,37,"2","M","Single",436.4935985
"6931",17,0,"2","M","Married",450.1794072
"3741",67,49,"2","F","Single",79.72859359
"8288",40,19,"3","M","Married",224.7668654
"9875",20,1,"3","M","Married",319.3916327
"7958",40,23,"3","M","Married",766.2697688
"11043",25,8,"3","M","Single",750.7100354
"3208",36,16,"2","F","Married",353.951666
"13880",21,4,"4","M","Single",966.8027841
"11592",67,50,"3","F","Single",64.23003046
"1644",65,44,"1","F","Single",113.9687533
"13263",21,3,"4","M","Single",824.9399434
"10341",22,4,"3","F","Married",317.7358252
"11213",21,4,"3","F","Married",313.8382522
"2626",64,47,"2","M","Married",547.8867472
"360",63,43,"1","F","Married",40.93404521
"11942",63,44,"3","M","Married",125.061786
"12707",16,0,"3","M","Single",3333
"1903",62,42,"1","F","Single",261.6444496
"6603",44,24,"2","M","Single",536.9876034
"6399",17,0,"2","M","Single",959.1959551
"9677",33,15,"3","F","Married",339.8535018
"907",23,6,"1","M","Married",293.4321973
"15230",48,29,"4","F","Single",351.6855186
"5471",31,12,"2","F","Single",324.1258041
"6376",28,11,"2","M","Married",782.3594009
"10021",38,17,"3","M","Married",364.5436701
"6493",16,0,"2","F","Married",180.3062395
"13807",22,3,"4","M","Married",169.2278782
"11685",17,0,"3","M","Single",945.3620797
"11439",44,27,"3","M","Single",404.1123008
"14845",16,0,"4","F","Single",413.2911066
"1549",21,4,"1","F","Married",198.8228959
"11585",56,39,"3","M","Single",511.9265755
"11237",69,51,"3","M","Single",210.3325329
"13688",53,35,"4","M","Married",359.3057307
"667",48,29,"1","F","Married",342.4184844
"10309",19,1,"3","M","Married",563.1467632
"5788",21,3,"2","F","Married",195.7200478
"14340",62,44,"4","F","Single",46.58064516
"14698",65,47,"4","M","Married",175.020681
"15148",44,26,"4","M","Married",345.1190055
"10565",48,27,"3","F","Married",335.7293722
"4342",64,47,"2","M","Single",289.2225933
"11202",63,44,"3","M","Single",109.3752692
"13673",17,0,"4","F","Married",352.6766172
"2770",65,48,"2","F","Married",323.012883
"8911",41,23,"3","M","Married",161.5843569
"6035",17,0,"2","M","Single",676.4965432
"14117",18,0,"4","M","Single",927.7630189
"14905",61,42,"4","F","Married",294.8875844
"14281",60,39,"4","F","Married",345.2054142
"14063",19,1,"4","M","Single",973.9247055
"9589",61,43,"3","F","Single",243.4541214
"7674",57,40,"2","F","Married",612.8607726
"8060",40,20,"3","M","Single",299.6729622
"5977",58,40,"2","F","Single",365.2165078
"5874",28,7,"2","M","Married",129.8275184
"8226",18,0,"3","M","Single",1042.184386
"6230",26,9,"2","M","Married",352.6742687
"13182",24,5,"4","M","Married",295.9290993
"11635",32,12,"3","M","Married",363.9676756
"3070",35,17,"2","F","Single",132.9111475
"5789",48,30,"2","M","Single",385.0728079
"5786",21,4,"2","M","Single",500.89131
"287",25,7,"1","M","Married",554.2015344
"5817",18,0,"2","M","Married",484.4999933
"2637",35,16,"2","F","Married",508.5575122
"9713",35,16,"3","M","Single",536.617917
"14335",65,48,"4","M","Single",132.1886584
"10068",38,17,"3","M","Married",605.5402007
"5958",49,30,"2","F","Married",324.7023211
"10067",17,0,"3","M","Single",860.4545437
"192",21,4,"1","F","Single",429.8619791
"624",63,42,"1","F","Single",34.08131785
"5759",20,2,"2","F","Married",285.6902765
"8861",34,15,"3","F","Married",357.2540341
"3025",20,2,"2","M","Single",1196.529346
"11469",18,0,"3","M","Single",1120.12851
"9560",37,19,"3","M","Single",583.618097
"14630",22,3,"4","F","Married",485.7020951
"5699",35,14,"2","F","Married",506.3626082
"5654",63,42,"2","M","Single",307.1713191
"3439",20,2,"2","F","Married",408.4267315
"5141",60,43,"2","M","Single",724.8525528
"3190",49,30,"2","M","Single",296.4003825
"12812",18,0,"4","M","Single",820.2432806
"6551",64,45,"2","F","Single",194.23594
"656",20,1,"1","F","Single",235.5727989
"10636",52,34,"3","F","Single",464.2904242
"4553",25,6,"2","F","Married",285.7204047
"7601",24,6,"2","F","Single",285.9482313
"9297",23,5,"3","M","Married",579.042782
"3812",39,19,"2","F","Single",413.414678
"727",18,1,"1","M","Single",463.3050457
"5852",69,51,"2","M","Single",81.31264814
"8385",43,24,"3","F","Single",237.6068066
"13412",35,18,"4","F","Single",341.2750996
"13326",19,1,"4","F","Single",284.6476935
"1216",19,0,"1","F","Married",319.5264432
"6847",44,25,"2","F","Single",904.6842247
"5436",20,1,"2","F","Single",488.2861253
"13856",33,16,"4","F","Married",388.6614615
"4375",53,33,"2","M","Single",428.262359
"5357",27,6,"2","F","Married",319.3783999
"13597",23,6,"4","F","Married",186.3419152
"10875",48,29,"3","F","Married",264.1574614
"4290",51,30,"2","F","Single",392.6467754
"11218",27,6,"3","F","Single",367.304245
"3033",62,44,"2","F","Single",173.4938588
"6878",21,3,"2","F","Single",474.1410582
"2292",21,3,"1","M","Married",212.0839926
"1643",54,34,"1","M","Single",434.1198694
"11870",66,48,"3","F","Married",310.5503805
"3795",32,11,"2","M","Single",900.7508798
"10802",43,26,"3","F","Married",175.0369842
"4920",33,14,"2","F","Single",898.8948057
"345",48,31,"1","F","Single",581.3363152
"10233",65,44,"3","M","Married",256.9809464
"407",25,8,"1","F","Married",250.8077066
"5950",24,6,"2","M","Single",689.36232
"3519",29,10,"2","M","Married",476.6718857
"15225",33,15,"4","F","Married",300.3903436
"8958",56,38,"3","M","Single",288.8223917
"1147",58,39,"1","M","Married",379.5952303
"2474",42,23,"1","M","Single",193.9378831
"1432",25,7,"1","M","Married",227.9545285
"11135",69,50,"3","M","Married",34.78307855
"8600",19,0,"3","M","Single",837.7497832
"8642",65,44,"3","M","Married",17.59097452
"14121",29,11,"4","M","Single",631.5946979
"5923",18,1,"2","F","Married",189.8845127
"4777",54,33,"2","F","Married",267.5866584
"10872",54,37,"3","F","Single",394.6427341
"12151",38,18,"3","M","Married",539.3382414
"8920",63,44,"3","M","Single",251.2715857
"8121",61,41,"3","F","Married",200.5344542
"4490",61,40,"2","F","Single",141.0243744
"1037",19,1,"1","F","Married",488.2883074
"8099",17,0,"3","M","Single",720.999411
"2442",49,28,"1","M","Married",334.9851495
"10151",43,23,"3","M","Single",457.1755592
"4024",29,10,"2","F","Single",149.3536713
"8751",54,34,"3","F","Single",333.4723997
"1709",41,24,"1","F","Single",609.7857707
"3495",67,50,"2","F","Single",442.6722795
"11232",35,15,"3","M","Single",582.0355859
"11001",68,50,"3","F","Married",172.8255983
"628",53,34,"1","F","Married",477.1837723
"11981",62,44,"3","F","Single",223.2655717
"1752",25,8,"1","M","Married",679.8339825
"8331",39,18,"3","F","Single",349.6626186
"6425",50,33,"2","F","Married",456.1775467
"7624",67,49,"2","M","Married",114.2397792
"14413",66,45,"4","F","Married",121.7890849
"6427",21,2,"2","F","Married",551.3165937
"13522",28,10,"4","F","Single",196.9823997
"13467",65,47,"4","M","Single",161.0202216
"14074",53,36,"4","M","Married",382.7331096
"8326",63,46,"3","M","Single",291.7045386
"4724",25,8,"2","M","Single",469.5215724
"13783",22,4,"4","M","Single",771.3682045
"3133",23,6,"2","F","Single",593.3395827
"84",21,2,"1","F","Married",183.0600479
"327",38,19,"1","M","Single",726.0985559
"804",67,50,"1","F","Married",227.2721222
"10450",22,4,"3","F","Single",724.6667315
"6410",24,6,"2","M","Married",155.5642248
"11627",64,43,"3","M","Single",142.9188975
"2554",68,49,"2","F","Married",174.5014413
"8321",31,12,"3","F","Single",377.4174984
"12204",48,28,"3","F","Single",523.0894728
"10851",20,1,"3","F","Married",149.4781184
"6886",55,35,"2","M","Single",509.4627758
"5778",55,35,"2","M","Single",283.6160347
"8937",34,16,"3","M","Married",384.903832
"12123",41,22,"3","F","Married",289.1040693
"12181",37,17,"3","M","Married",139.4538857
"14937",67,50,"4","M","Married",182.2331212
"3516",56,36,"2","F","Single",409.5358825
"13809",21,3,"4","M","Single",835.9234667
"10883",44,25,"3","M","Single",432.0578807
"11316",25,6,"3","M","Married",581.550003
"10524",20,2,"3","F","Married",302.5659292
"12879",70,53,"4","M","Married",124.1461659
"6373",48,28,"2","F","Single",208.9160835
"12825",25,8,"4","M","Married",253.2165616
"10714",70,50,"3","M","Married",65.66019059
"11933",27,7,"3","F","Married",200.850912
"5382",61,43,"2","F","Single",56.28654154
"3778",50,30,"2","F","Single",415.6838212
"9851",25,8,"3","M","Single",1052.124636
"14682",63,43,"4","F","Single",347.4387209
"5220",19,2,"2","F","Married",301.062505
"436",68,50,"1","M","Married",96.75876211
"7110",17,0,"2","F","Married",206.3304124
"12068",19,1,"3","M","Married",624.1928257
"1018",36,19,"1","M","Single",444.0920771
"10690",54,35,"3","M","Married",325.5070234
"11642",61,43,"3","F","Married",132.3852185
"507",64,45,"1","F","Married",318.332047
"3750",66,46,"2","F","Single",126.8610648
"8750",61,40,"3","M","Single",26.54142028
"10698",59,39,"3","M","Married",233.7902735
"5451",54,33,"2","M","Single",435.0601621
"12743",41,22,"3","M","Married",367.407107
"5321",33,12,"2","M","Single",434.0823777
"5776",25,6,"2","F","Single",795.929798
"3902",34,16,"2","M","Married",402.9783385
"8333",20,1,"3","F","Married",349.2639569
"7611",55,36,"2","F","Single",393.897053
"14759",70,53,"4","M","Single",154.5567899
"2812",42,23,"2","F","Married",345.775639
"8939",58,41,"3","F","Single",468.4270538
"7113",63,46,"2","F","Married",127.8806096
"8407",21,3,"3","F","Single",344.6144448
"3878",25,6,"2","F","Married",486.6687182
"3047",53,35,"2","M","Single",578.285181
"7336",26,9,"2","M","Single",486.5580131
"4476",20,1,"2","M","Single",1092.721727
"4400",67,50,"2","M","Single",81.92175004
"481",17,0,"1","F","Single",234.8382168
"7151",39,19,"2","F","Married",300.7346324
"8119",23,6,"3","M","Single",647.1741685
"10094",64,47,"3","F","Married",307.1403785
"12960",65,47,"4","M","Married",601.0411263
"6659",48,29,"2","F","Married",644.8848643
"1133",70,53,"1","F","Married",63.34173415
"3535",18,1,"2","F","Married",435.429934
"11896",67,49,"3","M","Married",184.1834476
"13808",34,16,"4","M","Single",453.4172473
"14606",51,31,"4","F","Single",540.2230723
"12873",68,51,"4","F","Married",36.17224095
"8872",34,14,"3","M","Married",326.3151271
"6636",18,1,"2","M","Single",564.8968135
"2552",20,1,"2","F","Single",872.0054822
"9691",63,45,"3","F","Married",294.436679
"1157",22,4,"1","M","Single",481.2308348
"6267",50,31,"2","F","Married",191.4664255
"12717",51,34,"3","M","Married",382.9360523
"11485",65,46,"3","F","Single",206.0140439
"9730",21,4,"3","M","Married",384.1860668
"15136",17,0,"4","M","Single",921.6483992
"8080",19,1,"3","F","Married",410.760981
"13445",25,7,"4","M","Single",524.729119
"8358",69,52,"3","M","Married",368.4782178
"3709",61,41,"2","F","Married",225.0140233
"982",16,0,"1","M","Married",169.8362524
"14295",57,37,"4","M","Single",469.4075879
"4926",16,0,"2","F","Married",274.0220669
"12837",39,21,"4","F","Single",638.2435083
"7579",36,18,"2","M","Married",406.7601439
"6959",53,32,"2","M","Married",620.8278988
"14846",63,43,"4","F","Single",217.5262881
"1491",23,4,"1","M","Married",438.7076785
"11113",27,7,"3","F","Married",367.6105839
"5121",23,4,"2","F","Single",484.2424026
"4259",67,47,"2","F","Single",40.95171614
"1118",17,0,"1","F","Single",350.3614044
"10580",69,49,"3","M","Single",44.39369101
"2622",38,19,"2","M","Single",216.4373517
"5902",20,2,"2","F","Married",107.500208
"2674",58,39,"2","F","Single",426.4276795
"13488",52,31,"4","F","Married",294.3852523
"6058",35,14,"2","M","Married",470.3827303
"427",17,0,"1","M","Married",545.648712
"12704",70,52,"3","M","Single",391.838551
"11808",43,24,"3","F","Married",165.5358994
"8150",43,26,"3","M","Single",537.3116014
"14123",32,12,"4","F","Single",383.6844203
"12904",43,25,"4","F","Single",168.7608246
"11547",49,28,"3","M","Married",330.9539262
"1726",61,43,"1","M","Married",245.4681424
"13128",17,0,"4","M","Single",1555.951395
"7548",25,6,"2","F","Single",260.5924515
"73",22,4,"1","F","Single",405.6484005
"1840",33,15,"1","F","Married",406.5515049
"80",26,7,"1","F","Married",606.3573767
"11064",18,0,"3","M","Single",958.4658194
"10593",32,13,"3","F","Married",273.6634165
"4993",27,8,"2","F","Single",144.3156563
"13195",61,44,"4","M","Single",173.467736
"11153",24,7,"3","F","Single",327.3226285
"10661",45,28,"3","M","Single",179.5417467
"8432",26,6,"3","M","Married",654.5872932
"13095",38,20,"4","F","Married",643.3343761
"6767",69,52,"2","M","Married",255.8123577
"14091",69,52,"4","M","Married",40.09194914
"6057",68,50,"2","F","Married",144.6236185
"12663",43,26,"3","M","Single",441.4447936
"9246",52,31,"3","M","Married",290.9601261
"246",63,46,"1","M","Single",411.4934109
"2240",25,8,"1","M","Single",482.8592229
"6708",25,8,"2","F","Married",290.85714
"14863",17,0,"4","M","Single",1050.068538
"13418",16,0,"4","M","Married",361.3825928
"14975",23,4,"4","M","Married",310.7973575
"4676",36,17,"2","M","Married",205.3902518
"9545",69,51,"3","F","Single",226.3846678
"12287",18,0,"3","M","Single",743.3368202
"9144",48,29,"3","M","Married",367.1165347
"2023",45,24,"1","M","Single",440.8602363
"8126",27,6,"3","F","Single",456.0590024
"3687",20,3,"2","M","Married",604.9244768
"6188",16,0,"2","F","Married",297.6385347
"3004",24,5,"2","F","Single",299.8042767
"3445",24,5,"2","M","Single",988.0390258
"8833",17,0,"3","M","Single",1802.444618
"6378",61,43,"2","M","Married",78.58096229
"2175",65,47,"1","F","Married",274.7667043
"3676",18,0,"2","F","Married",158.3725387
"9631",63,43,"3","F","Single",272.6765058
"14377",66,49,"4","F","Single",38.81184155
"14949",70,49,"4","F","Single",442.4073421
"946",64,47,"1","F","Married",270.2730694
"15031",65,46,"4","M","Married",68.65999655
"4973",51,30,"2","M","Single",470.7177821
"9147",61,44,"3","M","Single",511.3069738
"11422",55,37,"3","F","Married",259.9785414
"3263",53,36,"2","F","Married",220.1477128
"475",55,34,"1","F","Single",475.6477521
"13802",24,5,"4","F","Married",330.1472651
"11287",48,28,"3","M","Married",268.1174236
"4889",22,5,"2","F","Married",330.2577944
"4483",62,41,"2","F","Married",283.0600948
"8701",24,6,"3","F","Married",363.089954
"12935",69,51,"4","F","Married",262.1851171
"8044",18,1,"3","M","Married",605.9417217
"6885",63,42,"2","F","Single",129.5973895
"11410",33,15,"3","F","Married",272.6997251
"2892",23,6,"2","F","Single",701.2232747
"9035",66,49,"3","F","Married",302.877603
"8332",16,0,"3","F","Married",359.1024007
"675",68,47,"1","M","Single",44.93262419
"12802",57,39,"4","F","Single",292.909646
"7855",22,5,"3","M","Single",900.8594808
"11608",60,39,"3","F","Single",209.0993733
"6990",17,0,"2","M","Married",643.1122901
"3588",58,40,"2","F","Single",393.8860297
"10723",68,49,"3","M","Single",148.6890676
"9290",60,40,"3","F","Single",400.2435035
"6477",64,45,"2","M","Single",179.1332926
"6279",16,0,"2","M","Single",564.3328789
"15101",16,0,"4","M","Single",385.0269627
"6054",70,49,"2","M","Married",197.6420414
"8120",46,25,"3","F","Married",462.1202654
"63",28,9,"1","M","Single",707.3793245
"13403",52,34,"4","F","Married",298.446885
"5475",19,2,"2","M","Married",527.15865
"1589",65,45,"1","M","Married",53.55900503
"11711",49,31,"3","M","Single",590.0447627
"7275",70,52,"2","M","Married",151.2817751
"13997",48,28,"4","F","Married",327.8850451
"506",23,4,"1","M","Married",694.5794472
"11867",57,39,"3","M","Single",336.2414658
"9725",64,45,"3","M","Married",131.1006337
"10363",70,50,"3","M","Single",64.74551084
"11624",22,5,"3","F","Single",731.3215187
"6740",48,28,"2","F","Single",345.5637767
"12461",20,2,"3","M","Single",1296.816028
"2801",46,28,"2","M","Single",405.5666572
"14020",57,39,"4","M","Single",474.8023125
"4249",33,13,"2","M","Single",391.2171737
"4234",59,38,"2","M","Single",417.9445843
"12705",31,13,"3","F","Married",179.3982397
"10478",61,40,"3","F","Married",256.0388721
"4566",53,33,"2","F","Single",325.810068
"6478",69,52,"2","M","Single",454.7246128
"5595",69,50,"2","F","Single",160.4764846
"14811",50,33,"4","F","Single",251.8672765
"6528",31,11,"2","F","Single",444.075263
"8638",39,19,"3","M","Single",495.4356608
"3157",22,5,"2","F","Married",329.2043961
"10042",51,31,"3","F","Single",552.9365137
"3974",65,47,"2","F","Married",299.3307887
"12180",31,11,"3","F","Married",329.8279846
"11468",24,6,"3","M","Married",603.4243667
"6208",33,14,"2","F","Married",195.2139227
"959",66,45,"1","M","Single",101.6847135
"13985",65,45,"4","F","Single",110.4387776
"7787",58,40,"3","F","Single",259.0942332
"13348",57,40,"4","F","Single",500.2550126
"14469",18,0,"4","F","Married",158.9961809
"8957",69,49,"3","M","Single",426.5091944
"12606",22,5,"3","M","Married",637.7350752
"7721",70,53,"3","F","Single",83.38302321
"14936",32,15,"4","F","Single",401.4259936
"11634",68,48,"3","M","Married",208.3529943
"6729",19,2,"2","M","Single",2814
"2998",62,44,"2","F","Single",266.9167964
"5537",30,13,"2","F","Single",382.5545497
"11897",16,0,"3","F","Single",382.1958906
"6652",38,18,"2","F","Married",344.580356
"9030",32,13,"3","M","Married",225.7347436
"3792",22,3,"2","M","Married",230.1703288
"10965",56,39,"3","F","Married",485.0029454
"3303",21,4,"2","M","Single",593.9904687
"4960",57,36,"2","F","Single",375.6861167
"3160",42,25,"2","F","Single",455.5840948
"12554",21,2,"3","M","Married",271.6780306
"5568",21,3,"2","M","Single",455.2843485
"1844",35,17,"1","F","Married",517.6154431
"14388",38,17,"4","M","Married",200.981019
"4663",66,47,"2","F","Married",292.5163962
"11438",22,5,"3","F","Married",414.6705578
"1913",69,52,"1","F","Married",151.4867587
"4820",24,6,"2","M","Single",906.1379206
"3292",25,7,"2","F","Married",229.2872644
"616",25,6,"1","F","Married",496.9800239
"10517",67,48,"3","M","Single",198.7510108
"2670",52,34,"2","F","Married",332.3828307
"5252",46,29,"2","M","Married",382.9371189
"4337",40,19,"2","M","Married",341.0328439
"8069",68,47,"3","M","Married",274.7739139
"7254",69,51,"2","F","Married",109.3434997
"13277",41,23,"4","F","Married",575.1008818
"13932",33,16,"4","M","Married",345.1048901
"15283",30,11,"4","M","Single",472.252075
"13097",24,5,"4","M","Single",989.980317
"7476",65,47,"2","F","Married",118.7481336
"14478",19,2,"4","M","Single",900.421872
"11046",66,46,"3","M","Single",355.4420655
"14893",21,3,"4","M","Married",640.8558315
"5943",52,32,"2","F","Single",399.2326472
"3669",24,6,"2","M","Married",564.5605181
"2107",49,28,"1","F","Single",449.0947929
"11672",59,41,"3","F","Married",310.5947859
"7929",27,8,"3","M","Married",408.2288248
"8551",25,8,"3","M","Married",152.287053
"8222",67,47,"3","M","Single",130.1853094
"702",21,2,"1","M","Married",891.5187959
"7562",48,29,"2","F","Married",532.1842989
"7858",70,50,"3","M","Married",436.1887136
"8409",63,45,"3","M","Married",63.73827093
"8319",57,40,"3","M","Single",248.332043
"1101",64,44,"1","F","Married",235.6730053
"1039",58,39,"1","M","Single",416.3768884
"9189",16,0,"3","M","Single",340.6809661
"11103",20,2,"3","F","Single",609.7680208
"1951",63,42,"1","F","Married",129.7356
"10476",61,44,"3","M","Single",55.86250372
"6504",21,3,"2","M","Single",802.6177559
"13225",26,9,"4","F","Single",232.2603309
"6672",34,13,"2","M","Married",364.1695599
"7516",39,19,"2","M","Single",835.8613877
"15189",45,28,"4","M","Single",856.1075666
"6932",44,24,"2","M","Single",447.5415679
"993",36,17,"1","M","Single",480.0813937
"7196",69,52,"2","F","Married",117.5886176
"12841",67,48,"4","F","Single",85.12375805
"7052",65,46,"2","F","Married",200.7420917
"5841",57,38,"2","F","Married",309.9708434
"432",29,12,"1","F","Single",363.980308
"14965",55,34,"4","F","Married",305.7163394
"633",62,45,"1","F","Married",27.13439185
"2150",20,3,"1","F","Single",273.2692258
"6265",63,44,"2","M","Married",75.03338088
"10762",39,19,"3","M","Married",377.8486606
"3747",56,39,"2","F","Single",298.7437178
"10078",37,16,"3","F","Married",152.6981784
"6967",38,21,"2","M","Married",377.7103177
"14214",22,4,"4","M","Married",605.6072165
"232",27,7,"1","F","Married",488.6956097
"8921",45,26,"3","M","Single",222.1080969
"14699",16,0,"4","M","Single",400.6040559
"14459",26,5,"4","M","Single",624.4043917
"1807",32,12,"1","F","Married",308.2346622
"8752",21,4,"3","F","Single",346.6996714
"11180",25,8,"3","F","Married",168.8458668
"3438",63,43,"2","F","Married",256.1034855
"1815",65,47,"1","M","Single",133.5021321
"10185",49,30,"3","M","Married",662.3350856
"2828",37,17,"2","M","Single",514.8116374
"3574",53,34,"2","F","Single",380.0523299
"7093",42,25,"2","F","Single",381.2696849
"6323",28,8,"2","M","Married",264.8209968
"4980",19,0,"2","F","Single",471.6957611
"14014",34,13,"4","F","Single",283.3004662
"7442",31,11,"2","F","Single",363.8792246
"2070",18,1,"1","M","Single",462.9537014
"14860",24,6,"4","F","Single",410.966369
"3259",17,0,"2","M","Single",646.9235949
"1738",55,38,"1","M","Married",617.1669192
"2835",47,30,"2","M","Single",435.3769461
"4792",69,52,"2","M","Married",213.322691
"4033",21,4,"2","F","Married",555.2635092
"14043",59,42,"4","M","Single",454.9585533
"15154",46,26,"4","M","Single",470.7920924
"7576",62,41,"2","F","Single",624.0649187
"2942",53,35,"2","F","Single",412.098784
"11694",27,10,"3","M","Married",346.313464
"6224",69,48,"2","M","Single",178.9047923
"7223",19,0,"2","M","Married",299.3878756
"10446",44,23,"3","F","Married",349.4022276
"8627",69,48,"3","F","Single",58.73057119
"1930",51,34,"1","M","Single",214.9897118
"4282",32,11,"2","F","Married",361.4693117
"12661",42,22,"3","M","Married",262.6984205
"2506",64,44,"1","F","Single",115.134362
"14934",50,32,"4","F","Married",329.7975764
"6111",22,3,"2","F","Single",1511.71037
"8986",37,17,"3","M","Married",330.36069
"1837",23,6,"1","M","Single",265.3413142
"6003",67,49,"2","M","Single",302.8791172
"8287",63,46,"3","F","Single",201.4868881
"3341",39,20,"2","F","Married",116.3270713
"6174",36,17,"2","F","Married",364.9209585
"14968",70,53,"4","F","Single",43.4980825
"11408",23,4,"3","F","Single",712.8656995
"2082",42,21,"1","M","Married",363.7094092
"1175",33,14,"1","F","Single",463.0778287
"11878",33,15,"3","M","Married",202.8790638
"3997",37,20,"2","M","Single",887.8276787
"9998",38,18,"3","M","Married",420.5568513
"5339",27,7,"2","M","Married",456.406225
"5962",39,20,"2","M","Single",381.372027
"2123",43,25,"1","F","Single",383.111618
"1921",20,2,"1","F","Single",469.8435041
"1983",41,23,"1","F","Single",797.4727074
"6836",21,4,"2","M","Single",781.2241448
"14611",17,0,"4","M","Single",915.2129933
"8189",21,4,"3","M","Married",729.3349608
"5944",60,40,"2","F","Married",288.8449569
"13892",51,31,"4","M","Single",465.5054531
"72",61,40,"1","M","Single",388.6544422
"2947",23,6,"2","F","Married",653.2742442
"11301",66,47,"3","M","Single",81.4208887
"3551",40,23,"2","M","Married",347.9572848
"13664",69,52,"4","F","Single",358.8832187
"13172",59,42,"4","M","Single",431.2316572
"10001",50,30,"3","M","Married",379.5283124
"14812",70,50,"4","F","Single",103.23583
"4346",24,5,"2","M","Married",695.6235802
"47",18,1,"1","M","Single",904.8401349
"13236",50,30,"4","F","Married",311.735022
"5813",60,41,"2","M","Single",688.3114093
"13238",68,47,"4","F","Married",169.9171958
"2610",46,29,"2","M","Single",399.9512129
"1479",18,0,"1","F","Married",383.2031519
"3327",55,37,"2","M","Single",454.6174136
"9026",63,46,"3","F","Single",216.837958
"7657",52,33,"2","M","Single",457.3598309
"5522",17,0,"2","F","Married",327.145844
"9670",66,46,"3","F","Married",15.24467979
"7659",38,21,"2","F","Single",739.7080323
"7823",22,3,"3","M","Married",361.040788
"2956",55,38,"2","M","Single",470.179427
"1372",68,50,"1","F","Married",112.2473507
"9763",38,18,"3","M","Single",390.9018922
"8117",17,0,"3","M","Single",628.8984778
"12607",42,25,"3","F","Married",592.6050524
"12721",23,4,"3","M","Married",627.699644
"9870",20,3,"3","F","Single",626.9501344
"5762",39,20,"2","M","Married",362.6800565
"2316",56,38,"1","M","Married",335.5032735
"5767",34,14,"2","M","Single",504.3764517
"10101",55,37,"3","F","Married",324.6420613
"12174",22,4,"3","M","Married",596.4039365
"12010",25,8,"3","M","Married",219.2088215
"14097",58,41,"4","M","Married",391.9557976
"2646",33,16,"2","F","Married",256.8330831
"658",18,1,"1","M","Single",1570.197729
"7817",50,32,"3","M","Married",343.6651084
"1280",18,0,"1","F","Single",500.2238116
"12588",65,48,"3","M","Married",325.7298449
"2155",46,28,"1","M","Married",511.7252723
"12198",25,8,"3","F","Single",355.5696848
"1692",64,45,"1","F","Married",202.4989254
"8771",41,20,"3","F","Married",284.0133087
"10376",35,16,"3","F","Married",234.2771423
"10118",20,2,"3","M","Single",397.8586159
"8899",45,25,"3","M","Single",519.1243411
"1531",23,4,"1","F","Married",272.6984372
"14782",70,51,"4","F","Single",24.13380504
"8175",64,43,"3","F","Married",115.8444065
"13544",17,0,"4","M","Single",924.3242891
"136",18,1,"1","F","Married",322.9551348
"4278",52,34,"2","F","Single",504.1945897
"3567",51,32,"2","M","Married",405.1841261
"10912",59,41,"3","M","Married",266.5304811
"12344",24,5,"3","F","Single",314.4685197
"1690",68,50,"1","M","Married",75.70366892
"12074",52,31,"3","F","Married",310.1040789
"8000",35,17,"3","F","Married",323.8245299
"5291",48,27,"2","F","Single",438.8192687
"8800",70,49,"3","F","Single",63.63507594
"10144",64,44,"3","M","Single",98.58804303
"6897",69,51,"2","M","Married",67.45867564
"5213",60,41,"2","M","Single",495.8744707
"12760",67,49,"3","F","Married",98.87404547
"14671",68,51,"4","F","Married",62.36394588
"2026",60,43,"1","M","Single",257.1813241
"9205",65,44,"3","M","Single",187.4859603
"9613",21,4,"3","F","Single",661.3159383
"13707",45,27,"4","F","Single",458.3080678
"6136",23,6,"2","M","Married",341.9096485
"8480",68,48,"3","M","Single",115.4222858
"13897",37,18,"4","M","Single",759.2695883
"13077",52,35,"4","F","Single",430.1810861
"8961",20,1,"3","F","Married",277.8466904
"13859",16,0,"4","M","Single",1109.628396
"2030",24,7,"1","M","Single",888.0452687
"3977",24,7,"2","F","Single",545.9616166
"14300",19,2,"4","F","Single",234.3263463
"355",25,7,"1","M","Married",180.2839243
"14192",18,0,"4","M","Single",418.0118186
"9797",44,26,"3","M","Single",449.3916101
"12668",43,24,"3","M","Married",326.5984595
"5486",26,5,"2","M","Married",571.5603593
"6890",62,43,"2","M","Married",246.9965913
"891",69,48,"1","F","Married",119.6500676
"8308",28,7,"3","M","Married",139.7018171
"4662",48,27,"2","F","Married",571.8643026
"5602",23,5,"2","M","Single",544.8236918
"12710",50,29,"3","F","Single",348.3946724
"8980",61,41,"3","M","Single",403.8071551
"9473",39,21,"3","M","Single",412.50814
"2250",69,52,"1","M","Single",222.9949749
"2685",28,11,"2","F","Married",407.7212568
"11555",47,28,"3","F","Married",341.1694065
"11040",30,13,"3","M","Married",339.1913977
"9498",20,3,"3","M","Single",1318.990738
"3705",23,4,"2","M","Single",551.7209522
"2768",22,4,"2","F","Married",247.617549
